"Ploidy_level","Ploidy_levelunknown","geneticSexID","geneticSexIDunknown","Cos.aspect","Elevation","delta_t","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","PPT.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_average","n_A_final_average","n_S_final_average","n_R_final_average","longevity_90_final_average","basal_area_density_final_average","index"
"diploid","0","female","0",1,2800,2.5,0,0,"param_sweep_5_7",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.2853351477839,3.53641252014561e-17,0,0,73,6.69914692179642e-18,5
"diploid","0","female","0",1,2800,2.5,1.45102528718376e-05,0,"param_sweep_5_8",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,21.395212133576,0.000939770834127566,0.0193940394248719,3.19328882415102e-05,74,3.22256355746333e-05,5
"diploid","0","female","0",1,2800,2.5,0,0,"param_sweep_5_9",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.4591093718047,5.7432257546102e-20,0,0,64,1.10252108314481e-20,5
"diploid","0","female","0",1,2800,2.5,0,0,"param_sweep_5_10",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.8383442747867,2.87978334266868e-29,0,0,64,5.61446288322882e-30,5
"diploid","0","male","0",1,2800,2.5,0,0,"param_sweep_6_1",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.461296042334,2.9967478189242e-19,0,0,77,5.73274604024594e-20,6
"diploid","0","male","0",1,2800,2.5,0,0,"param_sweep_6_2",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.2608424431021,1.32230873999484e-16,0,0,72,2.50486908666944e-17,6
"diploid","0","male","0",1,2800,2.5,0.515958708055721,0.040059751780188,"param_sweep_6_3",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,5.08710330588544,1.21189397613901,0.518657202153615,0.0620790457502112,44,0.00252483397848121,6
"diploid","0","male","0",1,2800,2.5,2.89357092401005e-06,1.10521523876195e-07,"param_sweep_6_4",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,28.6323902529874,0.000957048207532913,0.00150990346741519,3.40276313257084e-05,68,2.53398314086631e-05,6
"diploid","0","male","0",1,2800,2.5,0.123258584670986,0.0157908786614096,"param_sweep_6_5",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,8.50345955890334,0.981863069209339,0.112204167117881,0.0205064123733866,105,0.00733058623752821,6
"diploid","0","male","0",1,2800,2.5,0.167715649340793,0.0270106248771223,"param_sweep_6_6",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.623197376914297,0.012974424297658,7.46777845756364,1.01395866513605,0.181854066314256,0.0225386055452261,100,0.0052460639636023,6
"diploid","0","male","0",1,2800,2.5,0,0,"param_sweep_6_7",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.0268580995828,6.71510990092146e-14,0,0,85,1.25500231844847e-14,6
"diploid","0","male","0",1,2800,2.5,0.0504335690856645,0.0121231553624933,"param_sweep_6_8",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,15.6174724015188,0.472636848588657,0.0717673606534683,0.00916031148549613,106,0.0123815296642648,6
"diploid","0","male","0",1,2800,2.5,0,0,"param_sweep_6_9",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.3127325161128,4.08974985248045e-17,0,0,74,7.78823388891263e-18,6
"diploid","0","male","0",1,2800,2.5,0,0,"param_sweep_6_10",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.6966136365223,2.29204959102434e-24,0,0,70,4.43737349905153e-25,6
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_1",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.4464279380304,1.95310020636847e-19,0,0,61,3.73371393647147e-20,7
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_2",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.3324255292342,9.88935745698574e-19,0,0,39,1.88173966679244e-19,7
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_3",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.2658067091753,1.38772082412724e-15,0,0,85,2.62851119323919e-16,7
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_4",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.026516451908,2.52831052270686e-14,0,0,46,4.72723690520697e-15,7
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_5",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.086376372877,1.4229588922731e-16,0,0,66,2.67677879749326e-17,7
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_6",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.5735204430702,5.59492057859188e-24,0,0,47,1.08120767197404e-24,7
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_7",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.031773928772,1.85293324469677e-14,0,0,52,3.46404246199774e-15,7
