"geneticSexID","Ploidy_level","n_medium_trees","Cos.aspect","population_density_m2","size_mean","size_sd","site_code","site_type","year","replicate","lambda","X.UTM","Y.UTM","Watershed","Elevation","Slope","Canopy_openness","Summer.Insolation","Soil.type"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,3,0.998490642356188,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,4,0.97586877877831,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,5,0.955266040445713,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,6,0.953511958944589,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,7,0.926343783622278,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,8,0.962357904954515,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,9,0.966240832013636,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,10,0.967349618209622,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,1,0.929654049493588,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,2,0.966783035055907,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,3,1.0211084527875,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,4,0.978676127093178,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,5,0.953572197730927,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,6,0.952451826329855,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,7,0.91944014065674,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,8,0.960168714507312,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
