"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","prefix_this","minsize","maxsize","n_iterations","size_mean_initial","size_sd_initial","n_S_initial","n_A_initial","size_mean_final","n_A_final","n_S_final","longevity_90_final","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","basal_area_density_final","n_A_final_gt_30_cm","cv_n_A_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"63","0","0","0","0",-0.860665440559387,2974.61328125,"map_3172_1_3",5,70,300,20,5,3.83002934812844,0.1,6.1499617074259,0.0863612444510593,1.61939438875845,2,0.2,1,45.3382565398945,21.8562155181783,0.000271656709716011,1.32036808513781e-07,0.999857227526807,21,3172,1,"3","diploid","female"
"64","0","0","0","0",-0.776373386383057,3003.34985351562,"map_3173_1_1",5,70,300,20,5,3.03909805870699,0.1,7.68085385302401,0.134699955820839,2.65351271507302,6,0.2,1,47.5409551631177,21.5972565326712,0.000721257711865655,0.000204918341827299,0.387819279179824,22,3173,1,"1","diploid","female"
"65","0","0","0","0",-0.776373386383057,3003.34985351562,"map_3173_1_2",5,70,300,20,5,3.20623413749419,0.1,9.17622535188104,0.17554314535864,2.8524392371441,7,0.2,1,47.5409551631177,21.5972565326712,0.00170768127656647,0.0028064889027251,0.378001799741072,22,3173,1,"2","diploid","female"
"66","0","0","0","0",-0.776373386383057,3003.34985351562,"map_3173_1_3",5,70,300,20,5,4.40247935784227,0.1,6.79108575356367,0.041615098403038,2.38491500476465,3,0.2,1,47.5409551631177,21.5972565326712,0.000156574858590741,1.6012270621587e-07,0.718570492654857,22,3173,1,"3","diploid","female"
"67","0","0","0","0",-0.844617307186127,3037.07885742188,"map_3174_1_1",5,70,300,20,5,1.57819277029542,0.1,8.60359688016498,0.104515542564634,2.79336761776325,6,0.2,1,59.2785098275473,21.60115019586,0.000710216454400169,0.000234719759434326,0.479449592556602,23,3174,1,"1","diploid","female"
"68","0","0","0","0",-0.844617307186127,3037.07885742188,"map_3174_1_2",5,70,300,20,5,4.86322816020677,0.1,9.16685066241485,0.231495400397724,2.50156278659139,11,0.2,1,59.2785098275473,21.60115019586,0.0019891558082456,0.00192000665670888,0.549116998902905,23,3174,1,"2","diploid","female"
"69","0","0","0","0",-0.844617307186127,3037.07885742188,"map_3174_1_3",5,70,300,20,5,1.78898745874361,0.1,7.53707695624346,0.0310548444248891,2.3685788370948,5,0.2,1,59.2785098275473,21.60115019586,0.000146022091776027,1.30988470028951e-07,0.867125337486035,23,3174,1,"3","diploid","female"
"70","0","0","0","0",-0.925605535507202,2915.75537109375,"map_3275_1_1",5,70,300,20,5,2.37479131226105,0.1,9.37329619602183,0.228501644257517,2.30970013450044,24,0.2,1,46.4945252522876,21.8332631268506,0.00212434849687745,0.00253267628304078,0.553510627691154,24,3275,1,"1","diploid","female"
"71","0","0","0","0",-0.925605535507202,2915.75537109375,"map_3275_1_2",5,70,300,20,5,2.45171297555961,0.1,14.3216120228776,0.43518237510592,0.749379576304771,60,0.2,1,46.4945252522876,21.8332631268506,0.0101174989086845,0.0318465923138716,0.340524771220346,24,3275,1,"2","diploid","female"
"72","0","0","0","0",-0.925605535507202,2915.75537109375,"map_3275_1_3",5,70,300,20,5,3.12493299810232,0.1,7.4574593755261,0.0156565973769536,0.907029390405603,15,0.2,1,46.4945252522876,21.8332631268506,7.33343999079261e-05,1.09895487611366e-07,1.4903874257262,24,3275,1,"3","diploid","female"
