"site_code","name","value","year","metric"
"AHQT","SWE.2015",0.770491778850555,2015,"SWE"
"AHQT","SWE.2016",12.3114757537842,2016,"SWE"
"AHQT","SWE.2017",63.5737686157227,2017,"SWE"
"AHQT","SWE.2018",13.6065578460693,2018,"SWE"
"AHQT","SWE.2019",315.344268798828,2019,"SWE"
"AHQT","SWE.2020",5.0819673538208,2020,"SWE"
"AHQT","SWE.2021",9.77049160003662,2021,"SWE"
"AHQT","SWE.2022",18.9016399383545,2022,"SWE"
"AHQT","SWE.2023",204.344268798828,2023,"SWE"
"AHQT","SWE.2024",53.3278694152832,2024,"SWE"
"AHQT","SWE.2025",7.11475419998169,2025,"SWE"
"AHQT","SWE.2026",1.14754104614258,2026,"SWE"
"AHQT","PPT.2010",81.7082900702953,2010,"PPT"
"AHQT","PPT.2011",68.8680993616581,2011,"PPT"
"AHQT","PPT.2012",94.4790510833263,2012,"PPT"
"AHQT","PPT.2013",109.675977170467,2013,"PPT"
"AHQT","PPT.2014",67.8760196864605,2014,"PPT"
"AHQT","PPT.2015",107.008005976677,2015,"PPT"
"AHQT","PPT.2016",96.2830056846142,2016,"PPT"
"AHQT","PPT.2017",98.5300031304359,2017,"PPT"
"AHQT","PPT.2018",46.9070017039776,2018,"PPT"
"AHQT","PPT.2019",60.6560020744801,2019,"PPT"
"AHQT","PPT.2020",44.0510024130344,2020,"PPT"
"AHQT","PPT.2021",113.185000658035,2021,"PPT"
"AHQT","PPT.2022",82.9989991486073,2022,"PPT"
"AHQT","PPT.2023",28.2569996714592,2023,"PPT"
"AHQT","PPT.2024",83.836998552084,2024,"PPT"
"AHQT","PPT.2025",25.2299999892712,2025,"PPT"
"AHQT","PPT.2026",48.8350006639957,2026,"PPT"
"AHUK","SWE.2010",22.8852462768555,2010,"SWE"
"AHUK","SWE.2011",211.11474609375,2011,"SWE"
"AHUK","SWE.2012",0.508196711540222,2012,"SWE"
"AHUK","SWE.2013",81.6885223388672,2013,"SWE"
"AHUK","SWE.2014",85.9344253540039,2014,"SWE"
"AHUK","SWE.2015",25.4590167999268,2015,"SWE"
"AHUK","SWE.2016",32.6393432617188,2016,"SWE"
"AHUK","SWE.2017",150.655731201172,2017,"SWE"
"AHUK","SWE.2018",11.6065578460693,2018,"SWE"
"AHUK","SWE.2019",483.475402832031,2019,"SWE"
"AHUK","SWE.2020",37.163932800293,2020,"SWE"
"AHUK","SWE.2021",19.2786884307861,2021,"SWE"
"AHUK","SWE.2022",51.0655746459961,2022,"SWE"
"AHUK","SWE.2023",243.983612060547,2023,"SWE"
"AHUK","SWE.2024",154.754104614258,2024,"SWE"
"AHUK","SWE.2025",15.0819673538208,2025,"SWE"
"AHUK","SWE.2026",1.8852459192276,2026,"SWE"
"AHUK","PPT.2010",85.6004442572594,2010,"PPT"
"AHUK","PPT.2011",72.3888225853443,2011,"PPT"
"AHUK","PPT.2012",97.1479671895504,2012,"PPT"
"AHUK","PPT.2013",113.097776919603,2013,"PPT"
"AHUK","PPT.2014",68.6327533721924,2014,"PPT"
"AHUK","PPT.2015",112.74100497365,2015,"PPT"
"AHUK","PPT.2016",95.4450054168701,2016,"PPT"
"AHUK","PPT.2017",97.7090036273003,2017,"PPT"
"AHUK","PPT.2018",43.352001786232,2018,"PPT"
"AHUK","PPT.2019",59.8820032775402,2019,"PPT"
"AHUK","PPT.2020",44.2280021905899,2020,"PPT"
"AHUK","PPT.2021",115.853000044823,2021,"PPT"
"AHUK","PPT.2022",85.2079998850822,2022,"PPT"
"AHUK","PPT.2023",25.6779993772507,2023,"PPT"
"AHUK","PPT.2024",91.144000262022,2024,"PPT"
"AHUK","PPT.2025",23.9489997029305,2025,"PPT"
"AHUK","PPT.2026",51.2239997684956,2026,"PPT"
"AHYY","SWE.2010",12.967212677002,2010,"SWE"
"AHYY","SWE.2011",138.032791137695,2011,"SWE"
"AHYY","SWE.2012",0.311475425958633,2012,"SWE"
"AHYY","SWE.2013",20.5081977844238,2013,"SWE"
"AHYY","SWE.2014",39.7213096618652,2014,"SWE"
"AHYY","SWE.2015",0.770491778850555,2015,"SWE"
"AHYY","SWE.2016",12.3114757537842,2016,"SWE"
"AHYY","SWE.2017",63.5737686157227,2017,"SWE"
"AHYY","SWE.2018",13.6065578460693,2018,"SWE"
"AHYY","SWE.2019",315.344268798828,2019,"SWE"
"AHYY","SWE.2020",5.0819673538208,2020,"SWE"
"AHYY","SWE.2021",9.77049160003662,2021,"SWE"
"AHYY","SWE.2022",18.9016399383545,2022,"SWE"
"AHYY","SWE.2023",204.344268798828,2023,"SWE"
"AHYY","SWE.2024",53.3278694152832,2024,"SWE"
"AHYY","SWE.2025",7.11475419998169,2025,"SWE"
"AHYY","SWE.2026",1.14754104614258,2026,"SWE"
"AHYY","PPT.2010",81.7082900702953,2010,"PPT"
"AHYY","PPT.2011",68.8680993616581,2011,"PPT"
"AHYY","PPT.2012",94.4790510833263,2012,"PPT"
"AHYY","PPT.2013",109.675977170467,2013,"PPT"
"AHYY","PPT.2014",67.8760196864605,2014,"PPT"
"AHYY","PPT.2015",107.008005976677,2015,"PPT"
"AHYY","PPT.2016",96.2830056846142,2016,"PPT"
"AHYY","PPT.2017",98.5300031304359,2017,"PPT"
"AHYY","PPT.2018",46.9070017039776,2018,"PPT"
"AHYY","PPT.2019",60.6560020744801,2019,"PPT"
"AHYY","PPT.2020",44.0510024130344,2020,"PPT"
"AHYY","PPT.2021",113.185000658035,2021,"PPT"
"AHYY","PPT.2022",82.9989991486073,2022,"PPT"
"AHYY","PPT.2023",28.2569996714592,2023,"PPT"
"AHYY","PPT.2024",83.836998552084,2024,"PPT"
"AHYY","PPT.2025",25.2299999892712,2025,"PPT"
"AHYY","PPT.2026",48.8350006639957,2026,"PPT"
"AMYCG","SWE.2010",15.1475410461426,2010,"SWE"
"AMYCG","SWE.2011",225.688522338867,2011,"SWE"
"AMYCG","SWE.2012",0.491803288459778,2012,"SWE"
"AMYCG","SWE.2013",15.2622947692871,2013,"SWE"
"AMYCG","SWE.2014",68.6393432617188,2014,"SWE"
"AMYCG","SWE.2015",0.721311450004578,2015,"SWE"
"AMYCG","SWE.2016",16.5573768615723,2016,"SWE"
"AMYCG","SWE.2017",46.1803283691406,2017,"SWE"
"AMYCG","SWE.2018",1.81967222690582,2018,"SWE"
"AMYCG","SWE.2019",187.786880493164,2019,"SWE"
"AMYCG","SWE.2020",11.9016389846802,2020,"SWE"
"AMYCG","SWE.2021",9.0819673538208,2021,"SWE"
"AMYCG","SWE.2022",34.8688507080078,2022,"SWE"
"AMYCG","SWE.2023",176.245895385742,2023,"SWE"
"AMYCG","SWE.2024",91.7049179077148,2024,"SWE"
"AMYCG","SWE.2025",14.4426231384277,2025,"SWE"
"AMYCG","SWE.2026",1.90163934230804,2026,"SWE"
"AMYCG","PPT.2010",91.5202626883984,2010,"PPT"
"AMYCG","PPT.2011",85.8919448554516,2011,"PPT"
"AMYCG","PPT.2012",98.4977297782898,2012,"PPT"
"AMYCG","PPT.2013",128.447162389755,2013,"PPT"
"AMYCG","PPT.2014",83.5164024829865,2014,"PPT"
"AMYCG","PPT.2015",145.052007704973,2015,"PPT"
"AMYCG","PPT.2016",94.0120040476322,2016,"PPT"
"AMYCG","PPT.2017",95.9410035312176,2017,"PPT"
"AMYCG","PPT.2018",35.7930016219616,2018,"PPT"
"AMYCG","PPT.2019",59.4230034947395,2019,"PPT"
"AMYCG","PPT.2020",48.3040021657944,2020,"PPT"
"AMYCG","PPT.2021",117.403999209404,2021,"PPT"
"AMYCG","PPT.2022",80.474000453949,2022,"PPT"
"AMYCG","PPT.2023",23.5379996299744,2023,"PPT"
"AMYCG","PPT.2024",99.7210020124912,2024,"PPT"
"AMYCG","PPT.2025",33.2049996256828,2025,"PPT"
"AMYCG","PPT.2026",57.6850005090237,2026,"PPT"
"AMYT","SWE.2010",12.967212677002,2010,"SWE"
"AMYT","SWE.2011",138.032791137695,2011,"SWE"
"AMYT","SWE.2012",0.311475425958633,2012,"SWE"
"AMYT","SWE.2013",20.5081977844238,2013,"SWE"
"AMYT","SWE.2014",39.7213096618652,2014,"SWE"
"AMYT","SWE.2015",0.770491778850555,2015,"SWE"
"AMYT","SWE.2016",12.3114757537842,2016,"SWE"
"AMYT","SWE.2017",63.5737686157227,2017,"SWE"
"AMYT","SWE.2018",13.6065578460693,2018,"SWE"
"AMYT","SWE.2019",315.344268798828,2019,"SWE"
"AMYT","SWE.2020",5.0819673538208,2020,"SWE"
"AMYT","SWE.2021",9.77049160003662,2021,"SWE"
"AMYT","SWE.2022",18.9016399383545,2022,"SWE"
"AMYT","SWE.2023",204.344268798828,2023,"SWE"
"AMYT","SWE.2024",53.3278694152832,2024,"SWE"
"AMYT","SWE.2025",7.11475419998169,2025,"SWE"
"AMYT","SWE.2026",1.14754104614258,2026,"SWE"
"AMYT","PPT.2010",81.7082900702953,2010,"PPT"
"AMYT","PPT.2011",68.8680993616581,2011,"PPT"
"AMYT","PPT.2012",94.4790510833263,2012,"PPT"
"AMYT","PPT.2013",109.675977170467,2013,"PPT"
