"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","delta_years","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_ten","n_A_final_ten","n_S_final_ten","n_R_final_ten","longevity_90_final_ten","basal_area_density_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"46","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0613255932701198,0.00388582853263717,"map_979_2_6",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.116542714225773,0.00789407543003564,13.9225313270646,0.0364447046844459,0.0641845963619884,0.00310317578258737,24.8181818181818,0.000864548619150336,5,979,2,"6","diploid","female"
"47","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0713112525234509,0.0035265172781426,"map_979_2_7",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.0984026095295371,0.00780531920810352,18.3770404804214,0.0586803734802353,0.0752908299488072,0.00322925924412232,44.2727272727273,0.00238306073073992,5,979,2,"7","diploid","female"
"48","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,1.45160617455929e-19,0,"map_979_2_8",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.123480819510464,0,50.8230237622811,6.05276997195462e-20,2.45634413478264e-19,0,37.1818181818182,1.22804619492846e-20,5,979,2,"8","diploid","female"
"49","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,1.37221321996267e-19,0,"map_979_2_9",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.140167806636971,0,50.8635373251671,4.35049560887646e-20,2.33307398805089e-19,0,56.8181818181818,8.84035099512283e-21,5,979,2,"9","diploid","female"
"50","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0129029045960047,0.00395616290141033,"map_979_2_10",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.108328189258547,0,20.4970300111503,0.00678991203840837,0.0137780468358786,0.000716342943003256,32.8181818181818,0.000313987888734606,5,979,2,"10","diploid","female"
"51","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,1.62335701234234e-18,0,"map_979_3_1",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.137970508871638,0,50.7165545728048,5.52254297837294e-19,2.63740783210236e-18,0,27.9090909090909,1.11586430258107e-19,6,979,3,"1","diploid","female"
"52","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,3.66402990261989e-21,0,"map_979_3_2",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.152602232423782,0,50.914863802922,1.23179472664724e-21,6.18173005841197e-21,0,19.3636363636364,2.5086920558964e-22,6,979,3,"2","diploid","female"
"53","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0647409670632577,0,"map_979_3_3",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.0860977005435503,0,15.7278681605835,0.0536779562601737,0.0581676847140818,0.00332506405258856,35.8181818181818,0.00159142089548884,6,979,3,"3","diploid","female"
"54","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,7.96178150212617e-21,0,"map_979_3_4",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.153281214727627,0,50.8398005463543,2.72100027855022e-21,1.33092656602869e-20,0,10.7272727272727,5.52535793609735e-22,6,979,3,"4","diploid","female"
"55","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0363529340604529,0.00333173115649219,"map_979_3_5",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.066084374007494,0.00604909089442754,12.6951217216445,0.0341643234291026,0.0344582755915776,0.00319574223156502,19.8181818181818,0.000709825368796994,6,979,3,"5","diploid","female"
