"replicate","geneticSexIDM","Ploidy_levelTriploid","n_medium_trees","Cos.aspect","Elevation","lambda"
6,"1","0",5,-1,3000,1.00001859067225
7,"1","0",5,-1,3000,1
8,"1","0",5,-1,3000,1
9,"1","0",5,-1,3000,0.977760775280245
10,"1","0",5,-1,3000,0.999999999999926
1,"0","1",5,-1,3000,0.942889173036425
2,"0","1",5,-1,3000,0.989794049649759
3,"0","1",5,-1,3000,0.921903105941859
4,"0","1",5,-1,3000,0.903429561492774
5,"0","1",5,-1,3000,0.9011480542156
6,"0","1",5,-1,3000,0.961966538157749
7,"0","1",5,-1,3000,0.855136004965466
8,"0","1",5,-1,3000,0.929493262675909
9,"0","1",5,-1,3000,NA
10,"0","1",5,-1,3000,1.00000000003841
1,"1","1",5,-1,3000,1.00000000000209
2,"1","1",5,-1,3000,1.00000001595455
3,"1","1",5,-1,3000,0.953669713867252
4,"1","1",5,-1,3000,1.00000005533609
5,"1","1",5,-1,3000,0.979772077556059
6,"1","1",5,-1,3000,1.00006954215104
7,"1","1",5,-1,3000,0.99768095544311
8,"1","1",5,-1,3000,1
9,"1","1",5,-1,3000,NA
10,"1","1",5,-1,3000,1.00000000000002
1,"0","0",15,-1,3000,0.999999985960503
2,"0","0",15,-1,3000,1.00105198400557
3,"0","0",15,-1,3000,1.00491587229416
4,"0","0",15,-1,3000,1
5,"0","0",15,-1,3000,1.00016160351906
6,"0","0",15,-1,3000,1.00002221749066
7,"0","0",15,-1,3000,1.00010960786766
8,"0","0",15,-1,3000,1.00000000000435
9,"0","0",15,-1,3000,NA
10,"0","0",15,-1,3000,0.999598515398046
1,"1","0",15,-1,3000,0.9999999989262
2,"1","0",15,-1,3000,0.978540052377687
3,"1","0",15,-1,3000,1.00000078203752
4,"1","0",15,-1,3000,1.00000446904848
5,"1","0",15,-1,3000,1.00166254903959
6,"1","0",15,-1,3000,1
7,"1","0",15,-1,3000,1
8,"1","0",15,-1,3000,1
9,"1","0",15,-1,3000,0.983290695384476
10,"1","0",15,-1,3000,0.99999999999994
1,"0","1",15,-1,3000,0.999999999961901
2,"0","1",15,-1,3000,1
3,"0","1",15,-1,3000,1.00000021052009
4,"0","1",15,-1,3000,1
5,"0","1",15,-1,3000,1.00000012388651
6,"0","1",15,-1,3000,0.974465983953986
7,"0","1",15,-1,3000,0.908738967627415
8,"0","1",15,-1,3000,1.00000052602328
9,"0","1",15,-1,3000,NA
10,"0","1",15,-1,3000,1
1,"1","1",15,-1,3000,1.00000000001881
2,"1","1",15,-1,3000,1.0000000000969
3,"1","1",15,-1,3000,0.997220385151546
4,"1","1",15,-1,3000,1
5,"1","1",15,-1,3000,1.00002328108819
6,"1","1",15,-1,3000,1.00000000000001
7,"1","1",15,-1,3000,1
8,"1","1",15,-1,3000,1
9,"1","1",15,-1,3000,NA
10,"1","1",15,-1,3000,1.00000000000003
1,"0","0",0,0,3000,0.998936727742501
2,"0","0",0,0,3000,0.999192646246369
3,"0","0",0,0,3000,1.0000076991373
4,"0","0",0,0,3000,0.980947501015174
5,"0","0",0,0,3000,0.982380147031431
6,"0","0",0,0,3000,0.996183720374764
7,"0","0",0,0,3000,0.996951774033159
8,"0","0",0,0,3000,0.99384680074734
9,"0","0",0,0,3000,0.984220920649423
10,"0","0",0,0,3000,0.999997511160559
1,"1","0",0,0,3000,1.00000002307916
2,"1","0",0,0,3000,1.00205320857391
3,"1","0",0,0,3000,1.00014098483856
4,"1","0",0,0,3000,1.00035523590007
5,"1","0",0,0,3000,1.00646437923092
6,"1","0",0,0,3000,1.00371562714484
7,"1","0",0,0,3000,1.0000406217899
8,"1","0",0,0,3000,1
9,"1","0",0,0,3000,NA
10,"1","0",0,0,3000,1.00000000283341
1,"0","1",0,0,3000,0.977872579441433
2,"0","1",0,0,3000,0.992353248309768
3,"0","1",0,0,3000,0.999765352378586
4,"0","1",0,0,3000,0.942255297058545
5,"0","1",0,0,3000,0.958026163909312
6,"0","1",0,0,3000,0.988219660211969
7,"0","1",0,0,3000,0.967816913454835
8,"0","1",0,0,3000,0.977075295647485
9,"0","1",0,0,3000,NA
10,"0","1",0,0,3000,0.999978281104477
1,"1","1",0,0,3000,1.00000000509686
2,"1","1",0,0,3000,1.0010021344181
3,"1","1",0,0,3000,1.00000018400764
4,"1","1",0,0,3000,0.9900487018184
5,"1","1",0,0,3000,0.983603566479489
6,"1","1",0,0,3000,1.00000022852323
7,"1","1",0,0,3000,0.993410463594114
8,"1","1",0,0,3000,1
9,"1","1",0,0,3000,NA
10,"1","1",0,0,3000,1.00000000005745
1,"0","0",5,0,3000,0.999999981163297
